id,admin_id,content,date_created,admin_ID
1,1,Facilities maintenance log export - April 2024,7/23/2024,22
2,2,Presentation slide deck archive - Student-Led Talks,12/22/2024,42
3,3,Publications archive - Northeastern Literary Society,4/28/2024,54
4,4,Campus engagement survey results - Northeastern Insights,1/30/2025,99
5,5,Event registration logs - HackNU 2024,2/20/2025,19
6,6,Media release forms - Film Society,8/6/2024,86
7,7,Weekly newsletter drafts - Sustainability Coalition,10/23/2024,28
8,8,Codebase snapshot - Robotics Club GitHub export,12/31/2024,25
9,9,Academic advisor notes export - Advising Portal,4/11/2024,97
10,10,Academic advisor notes export - Advising Portal,9/16/2024,71
11,11,Campus engagement survey results - Northeastern Insights,2/10/2025,1
12,12,Past event ticket sales report - Homecoming 2023,10/2/2024,100
13,13,Project submission archive - Startup Challenge 2024,3/6/2025,99
14,14,Financial aid award data backup - AY 2023-2024,7/12/2024,87
15,15,Career fair employer list - April 2024,8/30/2024,48
16,16,Student grievance submission archive - Ombuds Office,2/19/2025,98
17,17,Financial aid award data backup - AY 2023-2024,7/13/2024,54
18,18,Student grievance submission archive - Ombuds Office,12/20/2024,11
19,19,Past event ticket sales report - Homecoming 2023,4/11/2024,36
20,20,Volunteer hours log - Community Cleanup April 2024,6/23/2024,5
21,21,Online poll results export - Club Officer Elections,9/11/2024,59
22,22,Publications archive - Northeastern Literary Society,11/6/2024,75
23,23,Volunteer hours log - Community Cleanup April 2024,8/8/2024,26
24,24,Publications archive - Northeastern Literary Society,5/2/2024,32
25,25,Codebase snapshot - Robotics Club GitHub export,3/3/2025,94
26,26,Media release forms - Film Society,12/7/2024,56
27,27,Shared drive sync log - Women in Tech,1/9/2025,13
28,28,Codebase snapshot - Robotics Club GitHub export,7/10/2024,10
29,29,Incident report archive - Fall Semester 2023,11/12/2024,56
30,30,Campus engagement survey results - Northeastern Insights,7/26/2024,95
31,31,Academic advisor notes export - Advising Portal,1/14/2025,1
32,32,Emergency contact database - Fall 2024,10/29/2024,93
33,33,Student involvement transcript export - April 2024,7/20/2024,83
34,34,Club equipment inventory list - Tech Lending Program,4/10/2024,31
35,35,Student roster export - Spring 2024,5/27/2024,89
36,36,Event feedback forms - Global Citizenship Week,2/19/2025,72
37,37,Academic advisor notes export - Advising Portal,7/15/2024,15
38,38,Financial aid award data backup - AY 2023-2024,11/14/2024,98
39,39,Publications archive - Northeastern Literary Society,8/18/2024,83
40,40,Campus engagement survey results - Northeastern Insights,10/13/2024,7
41,41,Training module completion records - April 2024,9/15/2024,3
42,42,Website HTML backup - International Student Network,4/1/2025,85
43,43,Online poll results export - Club Officer Elections,4/4/2025,6
44,44,Student involvement transcript export - April 2024,12/9/2024,22
45,45,Flyer design files - Pride Week 2024,4/28/2024,71
46,46,Codebase snapshot - Robotics Club GitHub export,4/30/2024,36
47,47,Meeting minutes archive - Diversity & Inclusion Committee,10/1/2024,6
